                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 0.7587,                0.38966,                0.86482,                0.92035,                0.85886,                0.93615,                0.71328,                  0.762,                0.38554,                0.88772,                 0.0034,                 0.0034,                 0.0034
                    102,                0.75497,                0.39003,                0.86139,                0.94044,                 0.8604,                 0.9404,                0.70621,                 0.7648,                0.38776,                0.89149,               0.003334,               0.003334,               0.003334
                    103,                0.75716,                 0.3897,                0.86369,                0.88973,                0.86018,                0.90916,                0.69321,                0.76029,                0.38715,                 0.8882,               0.003268,               0.003268,               0.003268
                    104,                0.74765,                0.38492,                0.86356,                  0.918,                0.84939,                0.92316,                0.70892,                0.76591,                0.39343,                0.89163,               0.003202,               0.003202,               0.003202
                    105,                0.74716,                 0.3867,                0.86018,                0.87025,                0.86914,                0.92838,                0.71055,                0.76242,                0.38509,                0.88814,               0.003136,               0.003136,               0.003136
                    106,                0.74762,                0.38356,                0.86127,                0.90562,                0.85063,                0.92551,                0.69918,                0.76243,                0.38675,                0.88845,                0.00307,                0.00307,                0.00307
                    107,                0.74749,                0.38258,                0.86108,                0.88344,                0.87903,                0.92625,                0.71735,                0.75785,                0.38909,                0.88716,               0.003004,               0.003004,               0.003004
                    108,                0.73769,                0.38047,                0.85996,                0.89257,                0.89927,                0.93217,                 0.7096,                0.75652,                0.38879,                0.88809,               0.002938,               0.002938,               0.002938
                    109,                0.74113,                0.38089,                 0.8611,                0.94718,                0.85013,                0.93472,                 0.7045,                0.76599,                0.39279,                0.88863,               0.002872,               0.002872,               0.002872
                    110,                  0.739,                0.37931,                 0.8602,                0.87711,                0.87342,                0.92381,                 0.7099,                0.76064,                0.38444,                0.88851,               0.002806,               0.002806,               0.002806
                    111,                0.73942,                0.37938,                   0.86,                0.91861,                0.87823,                0.93801,                0.72022,                0.76501,                0.38856,                0.88956,                0.00274,                0.00274,                0.00274
                    112,                0.73772,                0.37836,                0.85692,                0.86447,                0.91535,                0.93263,                  0.703,                 0.7573,                0.38519,                0.88721,               0.002674,               0.002674,               0.002674
                    113,                0.73064,                0.37405,                0.85825,                0.86878,                0.88134,                0.92923,                0.71217,                0.75891,                 0.3829,                0.88843,               0.002608,               0.002608,               0.002608
                    114,                0.73107,                0.37525,                0.85693,                0.95049,                0.86073,                0.94017,                0.71549,                0.76164,                0.38533,                0.88917,               0.002542,               0.002542,               0.002542
                    115,                0.73271,                0.37493,                0.85797,                 0.9342,                0.87399,                0.92697,                0.70424,                0.76325,                0.38437,                0.89076,               0.002476,               0.002476,               0.002476
                    116,                0.72906,                0.37306,                0.85851,                0.91156,                0.83762,                0.92815,                0.70131,                0.75542,                0.38782,                0.88648,                0.00241,                0.00241,                0.00241
                    117,                0.72478,                0.36985,                 0.8566,                 0.9367,                0.83909,                0.93189,                0.70324,                0.75819,                0.38491,                0.88806,               0.002344,               0.002344,               0.002344
                    118,                0.72043,                0.36942,                0.85572,                0.90363,                0.90096,                0.94128,                0.71046,                0.76086,                0.38542,                0.89057,               0.002278,               0.002278,               0.002278
                    119,                0.72548,                0.36992,                 0.8559,                 0.8741,                0.86693,                 0.9225,                0.71042,                0.75734,                0.38405,                0.88866,               0.002212,               0.002212,               0.002212
                    120,                0.71569,                0.36626,                0.85419,                0.90186,                0.84753,                0.92384,                0.70252,                0.76653,                0.39035,                 0.8907,               0.002146,               0.002146,               0.002146
                    121,                0.71838,                0.36813,                0.85367,                0.85733,                0.88558,                0.91983,                0.70583,                0.75956,                0.38672,                 0.8875,                0.00208,                0.00208,                0.00208
                    122,                0.71765,                0.36583,                0.85633,                0.94606,                0.80786,                0.91783,                0.70447,                0.75419,                0.38611,                0.88675,               0.002014,               0.002014,               0.002014
                    123,                0.71471,                0.36433,                0.85441,                0.88118,                0.88709,                0.93658,                0.70906,                0.75519,                 0.3871,                0.88771,               0.001948,               0.001948,               0.001948
                    124,                0.70785,                0.36145,                0.85357,                0.91526,                0.86877,                0.92931,                0.72473,                0.75593,                0.38742,                0.88736,               0.001882,               0.001882,               0.001882
                    125,                0.71114,                0.36298,                 0.8541,                 0.8905,                0.86645,                0.90003,                0.70185,                0.76319,                0.38862,                  0.891,               0.001816,               0.001816,               0.001816
                    126,                0.70545,                0.36167,                0.85323,                0.90392,                0.89302,                0.94056,                0.71298,                0.76185,                0.38743,                0.89124,                0.00175,                0.00175,                0.00175
                    127,                 0.7064,                0.35918,                0.85129,                0.91799,                0.87681,                0.94067,                0.71962,                0.75684,                0.38225,                0.88857,               0.001684,               0.001684,               0.001684
                    128,                0.70275,                0.35906,                0.85174,                0.92607,                0.87907,                0.93998,                0.71591,                0.75791,                0.38155,                0.88995,               0.001618,               0.001618,               0.001618
